WINNER,CRIMINALCASES,AGE,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,"OVER TOTAL ELECTORS 
IN CONSTITUENCY","OVER TOTAL VOTES POLLED 
IN CONSTITUENCY",TOTAL ELECTORS,STATE,CONSTITUENCY,NAME,PARTY,SYMBOL,GENDER,CATEGORY,EDUCATION
1,2.5,38.0,8656777,1077120.0,654904,2115.0,657019,40.37729866,46.23016892,1627199.0,West Bengal,BISHNUPUR,KHAN SAUMITRA,BJP,Lotus,MALE,SC,scholl level
0,0.0,39.0,4642924,650000.0,578560,412.0,578972,35.58089699,40.73850735,1627199.0,West Bengal,BISHNUPUR,SHYAMAL SANTRA,AITC,Flowers and Grass,MALE,SC,Post Graduate/Doctorate
0,0.0,72.0,20299997,0.0,102498,117.0,102615,6.306235439,7.220352507,1627199.0,West Bengal,BISHNUPUR,KHAN SUNIL,CPI(M),"Hammer, Sickle and Star",MALE,SC,Graduate
0,0.0,67.0,3247596,0.0,17860,72.0,17932,1.10201641,1.261758624,1627199.0,West Bengal,BISHNUPUR,KHAN NARAYAN CHANDRA,INC,Hand,MALE,SC,Graduate
1,0.0,57.0,219403654,7500000.0,496237,1849.0,498086,28.55267518,38.11657065,1744446.0,Odisha,BOLANGIR,Sangeeta Kumari Singh Deo,BJP,Lotus,FEMALE,GENERAL,Graduate
0,0.0,45.0,204895169,13342386.0,478183,387.0,478570,27.43392458,36.62308761,1744446.0,Odisha,BOLANGIR,Kalikesh Narayan Singh Deo,BJD,Conch,MALE,GENERAL,Graduate
0,0.0,45.0,26771555,3673500.0,270712,344.0,271056,15.53822818,20.74285399,1744446.0,Odisha,BOLANGIR,Samarendra Mishra,INC,Hand,MALE,GENERAL,Post Graduate/Doctorate
0,0.0,49.0,1819971,1050000.0,13902,17.0,13919,0.797903747,1.065166551,1744446.0,Odisha,BOLANGIR,DINESH NAG,APoI,Coat,MALE,SC,Graduate
1,0.0,63.0,1310691,0.0,698441,730.0,699171,41.00534112,47.82523638,1705073.0,West Bengal,BOLPUR,ASIT KUMAR MAL,AITC,Flowers and Grass,MALE,SC,scholl level
0,0.0,53.0,11501067,4905000.0,591445,1324.0,592769,34.76502179,40.54704435,1705073.0,West Bengal,BOLPUR,DAS RAMPRASAD,BJP,Lotus,MALE,SC,Post Graduate/Doctorate
0,2.5,61.0,2320217,0.0,91831,133.0,91964,5.393552065,6.290592772,1705073.0,West Bengal,BOLPUR,RAM CHANDRA DOME,CPI(M),"Hammer, Sickle and Star",MALE,SC,Graduate
0,0.0,47.0,4195922,113600.0,30005,107.0,30112,1.766024094,2.059744351,1705073.0,West Bengal,BOLPUR,ABHIJIT SAHA,INC,Hand,MALE,SC,Graduate
0,0.0,44.0,1126000,0.0,17010,3.0,17013,0.997787192,1.163736406,1705073.0,West Bengal,BOLPUR,SIMANTA MONDAL,RVNP,Tractor Chalata Kisan,MALE,SC,Graduate
1,1.0,42.0,18728861,0.0,677196,3718.25,681321,38.10679978,60.56186667,1787925.0,Uttar Pradesh,BULANDSHAHR,BHOLA SINGH,BJP,Lotus,MALE,SC,Graduate
0,2.5,50.0,47337130,8609902.0,390458,806.0,391264,21.88369199,34.77902222,1787925.0,Uttar Pradesh,BULANDSHAHR,YOGESH VERMA,BSP,Elephant,MALE,SC,scholl level
0,2.5,58.0,13324200,360000.0,29288,177.0,29465,1.647999776,2.619111111,1787925.0,Uttar Pradesh,BULANDSHAHR,BANSHI SINGH,INC,Hand,MALE,SC,scholl level
1,2.5,58.0,116272966,735482.0,520537,1440.0,521977,29.60869422,46.557243400000004,1762918.0,Maharashtra,BULDHANA,Jadhav Prataprao Ganpatrao,SHS,Bow and Arrow,MALE,GENERAL,scholl level
0,1.0,58.0,95350365,15244926.875,388293,397.0,388690,22.04810434,34.66883587,1762918.0,Maharashtra,BULDHANA,Dr. Rajendra Bhaskarrav Shingne,NCP,Clock,MALE,GENERAL,Graduate
0,2.0,57.0,43855736,1730992.0,172306,321.0,172627,9.792117387000001,15.39730152,1762918.0,Maharashtra,BULDHANA,Siraskar Baliram Bhagwan,VBA,Cup & Saucer,MALE,GENERAL,scholl level
1,2.5,66.0,40183612,1350667.0,468690,3718.25,473053,25.85875051,47.93021413,1829373.0,Bihar,BUXAR,Ashwini Kumar Choubey,BJP,Lotus,MALE,GENERAL,Graduate
0,1.0,75.0,35871242,530000.0,353627,1817.0,355444,19.4298265,36.01394988,1829373.0,Bihar,BUXAR,Jagadanand Singh,RJD,Hurricane Lamp,MALE,GENERAL,Graduate
0,1.0,50.0,9632514,265000.0,80031,230.0,80261,4.387350201,8.132126667,1829373.0,Bihar,BUXAR,Sushil Kumar Singh,BSP,Elephant,MALE,GENERAL,Graduate
0,0.0,34.0,695070,0.0,14163,7.0,14170,0.77458233,1.4357189030000002,1829373.0,Bihar,BUXAR,Uday Narayan Rai @ Luddu Rajbhar,SBSP,Walking Stick,MALE,GENERAL,Graduate
0,0.0,42.0,0,0.0,10721,9.0,10730,0.58653976,1.087174582,1829373.0,Bihar,BUXAR,Ramchandra Singh Yadav,IND,Almirah,MALE,GENERAL,Illiterate
1,2.5,66.0,20461931,915938.0,472935,509.0,473444,38.48521822,47.80171905,1230197.0,Kerala,CHALAKUDY,BENNY BEHANAN,INC,Hand,MALE,GENERAL,Graduate
0,0.0,71.0,67456404,670000.0,340581,589.0,341170,27.73295659,34.44655015,1230197.0,Kerala,CHALAKUDY,INNOCENT,CPI(M),"Hammer, Sickle and Star",MALE,GENERAL,scholl level
0,2.5,59.0,21383000,5462000.0,153934,225.0,154159,12.531245,15.56480852,1230197.0,Kerala,CHALAKUDY,A N RADHAKRISHNAN,BJP,Lotus,MALE,GENERAL,Graduate
1,0.0,71.0,143804441,324909.0,567010,1527.0,568537,33.71439686,44.7411517,1686333.0,Karnataka,CHAMARAJANAGAR,V. SRINIVAS PRASAD,BJP,Lotus,MALE,SC,Post Graduate/Doctorate
0,0.0,58.0,92418254,2190481.0,565754,966.0,566720,33.60664827,44.59816247,1686333.0,Karnataka,CHAMARAJANAGAR,R. DHRUVANARAYANA,INC,Hand,MALE,SC,Post Graduate/Doctorate
0,0.0,42.0,16580750,11600000.0,87208,423.0,87631,5.196541846000001,6.896141966,1686333.0,Karnataka,CHAMARAJANAGAR,Dr. SHIVAKUMARA,BSP,Elephant,MALE,SC,Post Graduate/Doctorate
1,0.0,62.0,33359734,0.0,508113,2620.0,510733,29.07116596,47.02046506,1756837.0,Uttar Pradesh,CHANDAULI,Dr. Mahendra Nath Pandey,BJP,Lotus,MALE,GENERAL,Post Graduate/Doctorate
0,2.0,43.0,4015011,369000.0,494689,2085.0,496774,28.27661303,45.73533433,1756837.0,Uttar Pradesh,CHANDAULI,Sanjay Singh Chauhan,SP,Bicycle,MALE,GENERAL,Post Graduate/Doctorate
0,2.0,52.0,66018000,15244926.875,22190,101.0,22291,1.268814352,2.052213557,1756837.0,Uttar Pradesh,CHANDAULI,Shivkanya Kushwaha,JANADIP,Dolli,FEMALE,GENERAL,scholl level
0,0.0,32.0,197703,9917.0,18971,14.0,18985,1.080635255,1.747847758,1756837.0,Uttar Pradesh,CHANDAULI,Ramgovind,SBSP,Walking Stick,MALE,GENERAL,Graduate
1,0.0,66.0,219403654,6279188.0,230967,221.0,231188,35.74727591,50.62839849,1090903.625,Chandigarh,CHANDIGARH,KIRRON KHER,BJP,Lotus,FEMALE,GENERAL,Post Graduate/Doctorate
0,0.0,70.0,95583235,0.0,184117,101.0,184218,28.48457391,40.34232881,1090903.625,Chandigarh,CHANDIGARH,PAWAN KUMAR BANSAL,INC,Hand,MALE,GENERAL,Graduate
0,0.0,78.0,219403654,0.0,13767,14.0,13781,2.130877075,3.017933282,1090903.625,Chandigarh,CHANDIGARH,HARMOHAN DHAWAN,AAP,Broom,MALE,GENERAL,Post Graduate/Doctorate
0,0.0,44.0,686891,0.0,7391,5.0,7396,1.143601106,1.6196672630000002,1090903.625,Chandigarh,CHANDIGARH,PARVEEN KUMAR,BSP,Elephant,MALE,SC,Illiterate
1,0.0,64.0,30171897,0.0,517939,1116.0,519055,33.22413417,52.92083922,1562283.0,NCT OF Delhi,CHANDNI CHOWK,HARSH VARDHAN,BJP,Lotus,MALE,GENERAL,Post Graduate/Doctorate
0,0.0,74.0,96159175,0.0,290689,221.0,290910,18.62082606,29.66005787,1562283.0,NCT OF Delhi,CHANDNI CHOWK,JAI PRAKASH AGARWAL,INC,Hand,MALE,GENERAL,Graduate
0,0.0,52.0,204351194,737055.0,144447,104.0,144551,9.252548994,14.73786059,1562283.0,NCT OF Delhi,CHANDNI CHOWK,PANKAJ KUMAR GUPTA,AAP,Broom,MALE,GENERAL,Graduate
1,2.5,43.0,137455342,15244926.875,557550,1957.0,559507,29.29067715,45.14024362,1910188.0,Maharashtra,CHANDRAPUR,Balubhau alias Suresh Narayan Dhanorkar,INC,Hand,MALE,GENERAL,scholl level
0,0.0,64.0,18300860,45386.0,512728,2016.0,514744,26.94729524,41.52882727,1910188.0,Maharashtra,CHANDRAPUR,Ahir Hansraj Gangaram,BJP,Lotus,MALE,GENERAL,scholl level
0,2.0,48.0,19703000,6978054.0,111547,532.0,112079,5.867432944,9.042377242999999,1910188.0,Maharashtra,CHANDRAPUR,Adv. Rajendra Shriramji Mahadole,VBA,Cup & Saucer,MALE,GENERAL,Graduate
1,0.0,55.0,219403654,1889051.0,526205,1872.0,528077,37.05236673,57.03046365,1425218.0,Jharkhand,CHATRA,SUNIL KUMAR SINGH,BJP,Lotus,MALE,GENERAL,Post Graduate/Doctorate
0,0.0,62.0,44186530,249224.0,149254,952.0,150206,10.53915962,16.22172112,1425218.0,Jharkhand,CHATRA,MANOJ KUMAR YADAV,INC,Hand,MALE,GENERAL,Graduate
0,2.5,52.0,53288310,5208407.0,82991,434.0,83425,5.853490484,9.009607368,1425218.0,Jharkhand,CHATRA,SUBHASH PRASAD YADAV,RJD,Hurricane Lamp,MALE,GENERAL,Graduate
0,2.0,40.0,4518000,90000.0,22558,19.0,22577,1.584108536,2.438236806,1425218.0,Jharkhand,CHATRA,ARJUN KUMAR,CPI(M),Ears of Corn And Sickle,MALE,GENERAL,scholl level
